LAW L1,L1,LAW L2,L2,Class,
134392,954,-490437,339,2,
126304,873,-484081,276,2,
116381,774,-478368,218,2,
102035,631,-473277,167,2,
84774,458,-468277,117,2,
70508,315,-463756,72,2,
60560,216,-460833,43,2,
53142,142,-458913,24,2,
42687,37,-458683,22,2,
38429,5,-458507,20,2,
31818,71,-458385,19,2,
24243,146,-458347,18,0,
18613,203,-458315,18,0,
7761,311,-458309,18,0,
-3523,424,-458357,18,0,
-3271,422,-458319,18,0,
10310,286,-458241,17,0,
28113,108,-458195,17,0,
21532,174,-458147,16,0,
21060,178,-458160,16,0,
21052,178,-458203,17,0,
20931,180,-458214,17,0,
20801,181,-458202,17,0,
20763,181,-458227,17,0,
20792,181,-458204,17,0,
20798,181,-458164,16,0,
20703,182,-458190,17,0,
20765,181,-458271,17,0,
20704,182,-458236,17,0,
20691,182,-458230,17,0,
20800,181,-458293,18,0,
20754,181,-458294,18,0,
20576,183,-458253,17,0,
20527,184,-458264,17,0,
20549,183,-458216,17,0,
20630,183,-458189,17,0,
20592,183,-458271,17,0,
20532,184,-458272,17,0,
20562,183,-458264,17,0,
20639,182,-458236,17,0,
20725,182,-458229,17,0,
20679,182,-458237,17,0,
20614,183,-458245,17,0,
20533,183,-458223,17,0,
20611,183,-458201,17,0,
85489,465,-458217,17,0,
221843,1829,-458269,17,0,
328118,2891,-458376,18,0,
383052,3441,-458415,19,0,
376627,3376,-458424,19,0,
347937,3090,-458475,19,0,
349334,3104,-458581,21,2,
352562,3136,-458726,22,2,
349656,3107,-458892,24,2,
344747,3058,-459155,26,2,
355005,3160,-459828,33,2,
372118,3331,-461067,45,2,
398957,3600,-463301,68,2,
437777,3988,-472979,165,2,
485220,4462,-479786,233,2,
534669,4957,-486618,301,2,
577763,5388,-493315,368,2,
619999,5810,-500043,435,2,
716051,6771,-506558,500,2,
748184,7092,-511849,553,2,
776089,7371,-515860,593,2,
804327,7653,-519591,631,2,
824392,7854,-522962,664,2,
842144,8032,-527925,714,2,
880872,8419,-529265,727,2,
955160,9162,-530407,739,2,
932954,8940,-529746,732,2,
630589,5916,-525834,693,2,
231728,1927,-522283,658,2,
188733,1498,-520210,637,2,
166514,1275,-517702,612,2,
151362,1124,-514061,575,2,
151684,1127,-509591,531,2,
155921,1169,-500820,443,2,
150206,1112,-495142,386,2,
140524,1015,-488591,321,2,
133797,948,-482409,259,2,
107816,688,-476881,204,2,
90765,518,-471717,152,2,
77541,386,-466619,101,2,
68379,294,-462590,61,2,
60017,210,-460370,38,2,
53048,141,-459341,28,2,
45805,68,-458670,21,2,
37050,18,-458522,20,2,
29703,92,-458461,19,0,
13678,252,-458451,19,0,
4750,341,-458396,19,0,
-5012,439,-458340,18,0,
-6401,453,-458295,18,0,
1052,378,-458302,18,0,
28742,101,-458197,17,0,
37244,16,-458159,16,0,
20729,182,-458158,16,0,
17567,213,-458122,16,0,
17222,217,-458142,16,0,
17130,218,-458171,16,0,
17067,218,-458188,17,0,
16863,220,-458189,17,0,
16811,221,-458176,16,0,
16861,220,-458187,17,0,
16859,220,-458184,17,0,
16678,222,-458153,16,0,
16565,223,-458187,17,0,
16581,223,-458147,16,0,
16562,223,-458106,16,0,
16618,223,-458198,17,0,
16674,222,-458229,17,0,
16601,223,-458223,17,0,
16677,222,-458202,17,0,
18646,202,-458201,17,0,
50035,111,-458224,17,0,
162465,1235,-458259,17,0,
292284,2533,-458429,19,0,
385257,3463,-458496,20,0,
354447,3155,-458567,20,2,
348859,3099,-458616,21,2,
353523,3145,-458669,21,2,
353221,3142,-458797,23,2,
346562,3076,-458961,24,2,
346186,3072,-459291,28,2,
352656,3137,-460071,35,2,
364403,3254,-461412,49,2,
426151,3872,-468582,121,2,
470269,4313,-474970,184,2,
515725,4767,-481868,253,2,
559667,5207,-488556,320,2,
605496,5665,-495221,387,2,
653289,6143,-502018,455,2,
701198,6622,-508304,518,2,
738916,6999,-513024,565,2,
766309,7273,-516857,603,2,
821591,7826,-520586,641,2,
840217,8012,-526892,704,2,
861083,8221,-528566,720,2,
926096,8871,-529723,732,2,
962286,9233,-530406,739,2,
754004,7150,-528394,719,2,
428468,3895,-524157,676,2,
260811,2218,-521225,647,2,
203871,1649,-519230,627,2,
159656,1207,-516450,599,2,
154815,1158,-512638,561,2,
157313,1183,-503703,472,2,
155924,1169,-499228,427,2,
148206,1092,-493157,366,2,
141954,1030,-486662,301,2,
131258,923,-480746,242,2,
116801,778,-475486,190,2,
99131,601,-470295,138,2,
82359,434,-465314,88,2,
61279,223,-461747,52,2,
53474,145,-459927,34,2,
48184,92,-458836,23,2,
36887,20,-458664,21,2,
26672,122,-458532,20,2,
20893,180,-458452,19,0,
13164,257,-458379,19,0,
6870,320,-458362,18,0,
3077,358,-458395,19,0,
-4235,431,-458392,19,0,
13383,255,-458282,18,0,
37948,9,-458156,16,0,
45437,65,-458160,16,0,
44539,56,-458153,16,0,
44349,54,-458190,17,0,
44341,54,-458183,17,0,
44369,54,-458150,16,0,
44305,53,-458135,16,0,
44343,54,-458144,16,0,
44266,53,-458165,16,0,
44283,53,-458153,16,0,
44375,54,-458169,16,0,
44465,55,-458231,17,0,
44414,54,-458200,17,0,
44497,55,-458173,16,0,
44437,55,-458123,16,0,
47635,87,-458145,16,0,
201015,1620,-458177,16,0,
317424,2784,-458342,18,0,
377294,3383,-458437,19,0,
380310,3413,-458474,19,0,
344923,3059,-458473,19,0,
341543,3026,-458621,21,2,
341347,3024,-458729,22,2,
349475,3105,-458914,24,2,
350618,3116,-459221,27,2,
356004,3170,-459853,33,2,
363578,3246,-461055,45,2,
389259,3503,-463332,68,2,
427614,3886,-467458,109,2,
473231,4342,-473431,169,2,
519209,4802,-480212,237,2,
565814,5268,-487091,306,2,
613436,5745,-500472,439,2,
662972,6240,-506807,503,2,
709997,6710,-511905,554,2,
770064,7311,-515898,594,2,
797267,7583,-519653,631,2,
822767,7838,-523245,667,2,
839247,8003,-526142,696,2,
864625,8256,-528039,715,2,
931168,8922,-529243,727,2,
930369,8914,-530113,736,2,
676617,6376,-525295,688,2,
381518,3425,-522115,656,2,
189769,1508,-520184,637,2,
170812,1318,-517531,610,2,
156003,1170,-513841,573,2,
153761,1148,-509394,529,2,
155454,1165,-504927,484,2,
151002,1120,-500670,441,2,
142959,1040,-494954,384,2,
136999,980,-488442,319,2,
126540,876,-477120,206,2,
92428,534,-471939,154,2,
77365,384,-466797,103,2,
66776,278,-462573,60,2,
58801,198,-460279,38,2,
54380,154,-459248,27,2,
50274,113,-458795,23,2,
36511,24,-458603,21,2,
24886,140,-458536,20,2,
18153,207,-458483,20,2,
11732,272,-458429,19,0,
4687,342,-458394,19,0,
-1262,401,-458347,18,0,
-1079,400,-458325,18,0,
21413,175,-458208,17,0,
34458,44,-458184,17,0,
26644,122,-458199,17,0,
23645,152,-458185,17,0,
23793,151,-458179,17,0,
35263,36,-458255,17,0,
46474,75,-458282,18,0,
58259,193,-458314,18,0,
67773,288,-458330,18,0,
73792,348,-458265,17,0,
75829,368,-458307,18,0,
76128,371,-458320,18,0,
75919,369,-458316,18,0,
75415,364,-458291,18,0,
75703,367,-458313,18,0,
75607,366,-458248,17,0,
75038,361,-458270,17,0,
75283,363,-458239,17,0,
75522,365,-458087,16,2,
75065,361,-459103,26,2,
75044,361,-464275,77,2,
75340,364,-472759,162,2,
73331,343,-478471,219,2,
70674,317,-479450,229,2,
70692,317,-479771,232,2,
70953,320,-479842,233,2,
70850,319,-477995,215,2,
70722,317,-476301,198,2,
70804,318,-475629,191,2,
70736,318,-475172,186,2,
70458,315,-472312,158,2,
70278,313,-466157,96,2,
70146,312,-466350,98,2,
