=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.10.12 22:12:05 =~=~=~=~=~=~=~=~=~=~=~=
7,13176,L2,-552670,961
L,96375,574,L2,-518514,620
L,82395,434,L2,-517913,614
L,52394,134,L2,-506156,496
L,74908,359,L2,-501113,446
L,85755,468,L2,-500760,442
L,86801,478,L2,-501139,446
L,87507,485,L2,-501400,449
L,88066,491,L2,-501599,451
L,88540,496,L2,-501742,452
L,88937,500,L2,-501865,453
L,89313,503,L2,-501990,455
L,89649,507,L2,-502092,456
L,89996,510,L2,-502167,456
L,90484,515,L2,-502341,458
L,87311,483,L2,-502136,456
L,66936,280,L2,-498320,418
L,62136,232,L2,-489458,329
L,86355,474,L2,-482742,262
L,104942,660,L2,-481472,249
L,106756,678,L2,-481941,254
L,106961,680,L2,-482268,257
L,107326,683,L2,-482464,259
L,107942,690,L2,-482684,262
L,108165,692,L2,-482982,265
L,108310,693,L2,-483124,266
L,108505,695,L2,-483254,267
L,108766,698,L2,-483402,269
L,108955,700,L2,-483468,269
L,109122,701,L2,-483526,270
L,104079,651,L2,-482586,261
L,86593,476,L2,-477397,209
L,84253,453,L2,-470427,139
L,91717,527,L2,-466955,104
L,92704,537,L2,-467199,107
L,93142,542,L2,-467349,108
L,93569,546,L2,-467570,110
L,93867,549,L2,-467707,112
L,94083,551,L2,-467815,113
L,94315,553,L2,-467916,114
L,94588,556,L2,-468064,115
L,94753,558,L2,-468112,116
L,95059,561,L2,-468212,117
L,94848,559,L2,-468252,117
L,83954,450,L2,-468161,116
L,58146,192,L2,-462126,56
L,50335,114,L2,-459514,30
L,60841,219,L2,-458999,25
L,64640,257,L2,-459128,26
L,64840,259,L2,-459194,27
L,64998,260,L2,-459275,27
L,65332,264,L2,-459329,28
L,65432,265,L2,-459399,29
L,65482,265,L2,-459436,29
L,65604,266,L2,-459480,30
L,65733,268,L2,-459541,30
L,65754,268,L2,-459556,30
L,65478,265,L2,-459525,30
L,58483,195,L2,-458904,24
L,44154,52,L2,-457960,14
L,35979,29,L2,-457528,10
L,45832,69,L2,-457512,10
L,46169,72,L2,-457582,11
L,46429,74,L2,-457653,11
L,46701,77,L2,-457664,11
L,46935,80,L2,-457647,11
L,47120,81,L2,-457620,11
L,47302,83,L2,-457687,12
L,47453,85,L2,-457696,12
L,47592,86,L2,-457691,12
L,47727,87,L2,-457667,11
L,46704,77,L2,-457703,12
L,37659,12,L2,-457624,11
L,27911,110,L2,-457339,8
L,34593,43,L2,-457109,6
L,46480,75,L2,-457110,6
L,48457,95,L2,-457127,6
L,48908,99,L2,-457161,6
L,49226,102,L2,-457183,7
L,49779,108,L2,-457162,6
L,50008,110,L2,-457133,6
L,50268,113,L2,-457152,6
L,50440,115,L2,-457193,7
L,50611,116,L2,-457198,7
L,50790,118,L2,-457199,7
L,50988,120,L2,-457229,7
L,51115,121,L2,-457254,7
L,49153,102,L2,-457127,6
L,34109,48,L2,-456922,4
L,20619,183,L2,-456812,3
L,30076,88,L2,-456880,4
L,31714,72,L2,-456895,4
L,32420,65,L2,-456892,4
L,35440,34,L2,-456919,4
L,40710,17,L2,-456927,4
L,42121,31,L2,-456940,4
L,42504,35,L2,-457008,5
L,42752,38,L2,-456948,4
L,43619,46,L2,-456907,4
L,45022,60,L2,-456896,4
L,45164,62,L2,-456938,4
L,37581,13,L2,-456932,4
L,16707,222,L2,-456836,3
L,8940,299,L2,-456719,2
L,12774,261,L2,-456756,2
L,15916,230,L2,-456907,4
L,16807,221,L2,-456928,4
L,17821,211,L2,-456959,4
L,19747,191,L2,-456980,5
L,23424,155,L2,-456961,4
L,24419,145,L2,-456977,4
L,24633,142,L2,-456987,5
L,24812,141,L2,-456957,4
L,24992,139,L2,-456947,4
L,25183,137,L2,-456963,4
L,23404,155,L2,-456948,4
L,8006,309,L2,-456794,3
L,-4027,429,L2,-456665,1
L,4922,340,L2,-456689,2
L,8451,304,L2,-456711,2
L,10369,285,L2,-456659,1
L,11933,269,L2,-456710,2
L,12952,259,L2,-456712,2
L,13233,256,L2,-456722,2
L,13319,256,L2,-456692,2
L,13419,255,L2,-456730,2
L,13762,251,L2,-456742,2
L,14740,241,L2,-456772,2
L,15175,237,L2,-456757,2
L,15164,237,L2,-456784,3
L,15114,238,L2,-456791,3
L,10667,282,L2,-456724,2
L,-14762,536,L2,-456527,0
L,-17575,565,L2,-456256,2
L,18199,207,L2,-456348,1
L,29513,94,L2,-456448,0
L,29035,98,L2,-456475,0
L,28751,101,L2,-456475,0
L,28501,104,L2,-456483,0
L,28258,106,L2,-456493,0
L,28044,108,L2,-456537,0
L,27888,110,L2,-456544,0
L,27748,111,L2,-456557,0
L,27643,112,L2,-456573,0
L,27564,113,L2,-456528,0
L,27362,115,L2,-456527,0
L,27280,116,L2,-456583,1
L,27235,116,L2,-456566,0
L,27173,117,L2,-456581,1
L,26136,127,L2,-456544,0
L,24891,140,L2,-456558,0
L,29040,98,L2,-456601,1
L,31093,78,L2,-456615,1
L,30937,79,L2,-456569,0
L,30950,79,L2,-456583,1
L,30991,79,L2,-456595,1
L,31004,79,L2,-456571,0
L,30975,79,L2,-456595,1
L,30922,80,L2,-456619,1
L,30896,80,L2,-456617,1
L,30909,80,L2,-456591,1
L,30970,79,L2,-456614,1
L,30970,79,L2,-456631,1
L,30983,79,L2,-456610,1
L,30908,80,L2,-456612,1
L,30910,80,L2,-456592,1
L,30970,79,L2,-456598,1
L,30949,79,L2,-456565,0
L,30927,80,L2,-456630,1
L,30927,80,L2,-456608,1
L,30915,80,L2,-456576,0
L,30948,79,L2,-456596,1
L,30938,79,L2,-456621,1
L,30954,79,L2,-456564,0
L,30938,79,L2,-456570,0
L,30936,79,L2,-456614,1
L,30908,80,L2,-456619,1
L,30908,80,L2,-456653,1
L,30933,79,L2,-456606,1
L,30923,80,L2,-456601,1
L,30852,80,L2,-456627,1
L,30843,80,L2,-456668,1
L,30879,80,L2,-456622,1
L,30893,80,L2,-456605,1
L,30862,80,L2,-456572,0
L,30880,80,L2,-456599,1
L,30902,80,L2,-456597,1
L,30888,80,L2,-456606,1
L,30822,81,L2,-456648,1
L,30843,80,L2,-456649,1
L,30925,80,L2,-456582,1
L,30872,80,L2,-456580,1
L,30866,80,L2,-456628,1
L,30925,80,L2,-456616,1
L,30864,80,L2,-456589,1
L,30810,81,L2,-456560,0
L,30836,80,L2,-456570,0
L,30936,79,L2,-456633,1
L,30929,80,L2,-456646,1
L,30929,80,L2,-456626,1
L,30934,79,L2,-456613,1
L,30860,80,L2,-456640,1
L,30901,80,L2,-456626,1
L,30869,80,L2,-456602,1
L,30852,80,L2,-456637,1
L,30866,80,L2,-456652,1
L,30863,80,L2,-456653,1
L,30873,80,L2,-456624,1
L,30910,80,L2,-456624,1
L,30918,80,L2,-456619,1
L,30894,80,L2,-456627,1
L,30899,80,L2,-456667,1
L,30940,79,L2,-456649,1
L,30889,80,L2,-456587,1
L,30853,80,L2,-456568,0
L,30817,81,L2,-456610,1
L,30873,80,L2,-456636,1
L,30941,79,L2,-456643,1
L,30878,80,L2,-456630,1
L,30884,80,L2,-456591,1
L,30892,80,L2,-456599,1
L,30911,80,L2,-456614,1
L,30971,79,L2,-456568,0
L,30932,80,L2,-456629,1
L,30863,80,L2,-456626,1
L,30879,80,L2,-456658,1
L,30919,80,L2,-456652,1
L,30868,80,L2,-456582,1
L,30852,80,L2,-456602,1
L,30882,80,L2,-456637,1
L,30897,80,L2,-456630,1
L,30980,79,L2,-456620,1
L,30934,79,L2,-456569,0
L,30888,80,L2,-456598,1
L,30863,80,L2,-456639,1
L,30875,80,L2,-456614,1
L,30872,80,L2,-456661,1
L,30896,80,L2,-456688,2
L,30883,80,L2,-456694,2
L,30838,80,L2,-456637,1
L,30896,80,L2,-456581,1
L,30883,80,L2,-456638,1
L,30844,80,L2,-456653,1
L,30900,80,L2,-456667,1
L,30914,80,L2,-456670,1
L,30850,80,L2,-456648,1
L,30845,80,L2,-456650,1
L,30861,80,L2,-456601,1
L,30889,80,L2,-456605,1
L,30891,80,L2,-456649,1
L,30914,80,L2,-456637,1
L,30936,79,L2,-456615,1
L,32341,65,L2,-456650,1
L,55280,163,L2,-456604,1
L,155604,1166,L2,-456824,3
L,248084,2091,L2,-457151,6
L,256495,2175,L2,-457192,7
L,255101,2161,L2,-457143,6
L,254587,2156,L2,-457142,6
L,254459,2155,L2,-457136,6
L,254299,2153,L2,-457130,6
L,254172,2152,L2,-457180,7
L,254066,2151,L2,-457201,7
L,253917,2149,L2,-457153,6
L,253821,2148,L2,-457114,6
L,253767,2148,L2,-457133,6
L,253689,2147,L2,-457127,6
L,253460,2145,L2,-457082,6
L,253752,2148,L2,-457081,6
L,270499,2315,L2,-457121,6
L,335385,2964,L2,-457429,9
L,369121,3301,L2,-457523,10
L,344779,3058,L2,-457511,10
L,335493,2965,L2,-457484,10
L,335172,2962,L2,-457465,9
L,335017,2960,L2,-457446,9
L,334840,2959,L2,-457443,9
L,334720,2957,L2,-457494,10
L,334625,2956,L2,-457513,10
L,334559,2956,L2,-457480,10
L,334468,2955,L2,-457471,9
L,334387,2954,L2,-457527,10
L,334350,2954,L2,-457479,10
L,334912,2959,L2,-457513,10
L,347931,3089,L2,-457571,10
L,369226,3302,L2,-457680,12
L,345412,3064,L2,-457879,14
L,339707,3007,L2,-457921,14
L,339564,3006,L2,-457870,13
L,339423,3004,L2,-457831,13
L,339331,3003,L2,-457797,13
L,339270,3003,L2,-457804,13
L,339206,3002,L2,-457811,13
L,339160,3002,L2,-457841,13
L,339084,3001,L2,-457807,13
L,338988,3000,L2,-457808,13
L,338874,2999,L2,-457804,13
L,338754,2998,L2,-457799,13
L,340782,3018,L2,-457792,13
L,360504,3215,L2,-457815,13
L,375773,3368,L2,-458126,16
L,359496,3205,L2,-458676,21
L,341510,3025,L2,-458670,21
L,339136,3002,L2,-458638,21
L,338981,3000,L2,-458630,21
L,338889,2999,L2,-458645,21
L,338772,2998,L2,-458595,21
L,338724,2997,L2,-458638,21
L,338671,2997,L2,-458599,21
L,338629,2996,L2,-458549,20
L,338583,2996,L2,-458504,20
L,338522,2995,L2,-458532,20
L,338463,2995,L2,-458506,20
L,340882,3019,L2,-458714,22
L,385275,3463,L2,-459596,31
L,386401,3474,L2,-460859,43
L,374023,3350,L2,-461262,47
L,372048,3331,L2,-461154,46
L,371876,3329,L2,-461129,46
L,371725,3327,L2,-461082,46
L,371553,3326,L2,-461033,45
L,371405,3324,L2,-460980,45
L,371407,3324,L2,-460990,45
L,371206,3322,L2,-460925,44
L,371116,3321,L2,-460928,44
L,371042,3321,L2,-460922,44
L,371017,3320,L2,-460912,44
L,370894,3319,L2,-460906,44
L,371072,3321,L2,-460851,43
L,380326,3413,L2,-461067,45
L,410780,3718,L2,-462599,61
L,432887,3939,L2,-465478,90
L,427843,3889,L2,-467423,109
L,419704,3807,L2,-467297,108
L,419454,3805,L2,-467192,107
L,419225,3802,L2,-467153,106
L,419080,3801,L2,-467083,106
L,418926,3799,L2,-467054,105
L,418830,3798,L2,-466984,105
L,418716,3797,L2,-466982,105
L,418587,3796,L2,-467010,105
L,418478,3795,L2,-466956,104
L,418267,3793,L2,-466928,104
L,418252,3793,L2,-466913,104
L,418188,3792,L2,-466847,103
L,418044,3791,L2,-466869,103
L,418016,3790,L2,-466857,103
L,418051,3791,L2,-466798,103
L,425155,3862,L2,-467315,108
L,464308,4253,L2,-470974,144
L,516067,4771,L2,-477881,214
L,534500,4955,L2,-482640,261
L,533170,4942,L2,-482686,262
L,532614,4936,L2,-482523,260
L,532181,4932,L2,-482432,259
L,531867,4929,L2,-482298,258
L,531569,4926,L2,-482208,257
L,531255,4923,L2,-482154,256
L,531003,4920,L2,-482089,256
L,530761,4918,L2,-482018,255
L,530635,4917,L2,-481991,255
L,530274,4913,L2,-481969,254
L,530169,4912,L2,-481906,254
L,530044,4911,L2,-481817,253
L,529923,4909,L2,-481784,253
L,529813,4908,L2,-481769,252
L,529677,4907,L2,-481714,252
L,529581,4906,L2,-481702,252
L,529499,4905,L2,-481666,251
L,529919,4909,L2,-481794,253
L,612586,5736,L2,-484392,279
L,659533,6206,L2,-492046,355
L,660098,6211,L2,-499266,427
L,654251,6153,L2,-500873,443
L,653168,6142,L2,-500655,441
L,652061,6131,L2,-500436,439
L,651572,6126,L2,-500269,437
L,651278,6123,L2,-500123,436
L,651004,6120,L2,-500019,435
L,650565,6116,L2,-499956,434
L,650320,6113,L2,-499903,434
L,650092,6111,L2,-499831,433
L,649866,6109,L2,-499772,432
L,649633,6107,L2,-499629,431
L,649451,6105,L2,-499632,431
L,649386,6104,L2,-499604,431
L,649522,6105,L2,-499677,431
L,666714,6277,L2,-502750,462
L,740666,7017,L2,-512437,559
L,851290,8123,L2,-522327,658
L,845915,8069,L2,-525143,686
L,844058,8051,L2,-524653,681
L,842951,8040,L2,-524216,677
L,842036,8031,L2,-523864,673
L,841309,8023,L2,-523433,669
L,840699,8017,L2,-523185,667
L,840178,8012,L2,-523096,666
L,839703,8007,L2,-523007,665
L,838872,7999,L2,-522838,663
L,838497,7995,L2,-522724,662
L,838187,7992,L2,-522636,661
L,837885,7989,L2,-522532,660
L,837578,7986,L2,-522464,659
L,837311,7983,L2,-522391,659
L,846498,8075,L2,-525437,689
L,901778,8628,L2,-534235,777
L,958942,9200,L2,-541409,849
L,958060,9191,L2,-542789,863
L,931350,8924,L2,-542196,857
L,929885,8909,L2,-541731,852
L,928819,8898,L2,-541349,848
L,927999,8890,L2,-541081,846
L,927283,8883,L2,-540920,844
L,926648,8877,L2,-540749,842
L,926084,8871,L2,-540370,838
L,925581,8866,L2,-540283,838
L,925160,8862,L2,-540172,836
L,924403,8854,L2,-540039,835
L,926418,8874,L2,-540023,835
L,962257,9233,L2,-541268,847
L,1024843,9859,L2,-547629,911
L,1058893,10199,L2,-555495,990
L,1052469,10135,L2,-558559,1020
L,1045483,10065,L2,-557888,1014
L,1043433,10045,L2,-556748,1002
L,1042029,10030,L2,-556401,999
L,1039957,10010,L2,-556141,996
L,1039157,10002,L2,-555889,994
L,1038473,9995,L2,-555653,991
L,1037858,9989,L2,-555491,990
L,1037253,9983,L2,-555308,988
L,1036677,9977,L2,-555172,986
L,1036073,9971,L2,-555072,985
L,1037325,9983,L2,-555067,985
L,1068707,10297,L2,-556699,1002
L,1123982,10850,L2,-566217,1097
L,1099822,10608,L2,-566426,1099
L,1084797,10458,L2,-565679,1092
L,1081039,10421,L2,-565206,1087
L,1078893,10399,L2,-564884,1084
L,1077358,10384,L2,-564583,1081
L,1076131,10371,L2,-564360,1078
L,1075082,10361,L2,-564149,1076
L,1074177,10352,L2,-563932,1074
L,1073355,10344,L2,-563799,1073
L,1072029,10330,L2,-563524,1070
L,1071446,10325,L2,-563413,1069
L,1072449,10335,L2,-563331,1068
L,1102369,10634,L2,-564469,1079
L,1173416,11344,L2,-568314,1118
L,1202631,11636,L2,-570946,1144
L,1143273,11043,L2,-570238,1137
L,1123079,10841,L2,-569397,1129
L,1121076,10821,L2,-568978,1125
L,1118849,10799,L2,-568718,1122
L,1118071,10791,L2,-568207,1117
L,1117460,10785,L2,-568010,1115
L,1116823,10778,L2,-567870,1113
L,1116301,10773,L2,-567708,1112
L,1115838,10769,L2,-567558,1110
L,1115379,10764,L2,-567447,1109
L,1114956,10760,L2,-567346,1108
L,1118443,10795,L2,-567473,1109
